"","Koppen","Estacion","Lluvia","VelRafaga","Vel9am","Vel3pm","Hum9am","Hum3pm","Pres9am","Pre3pm","Temp9am","Nub9am","Nub3pm","Evaporacion","Sol","Temp3pm","LluviaHoy","target"
"1500","Subtropical","Invierno",8.6,17,7,4,95,62,1018.1,1018.1,9.5,2,6,2.2,5.8,15,1,10.2
"1501","Tropical","Verano",0,43,26,33,55,52,1012.7,1009.5,29.1,2,2,12,11.4,30.6,0,8.3
"1502","Temperate","Otoño",0.2,46,13,19,74,56,1013.5,1012.4,16.9,7,7,2.6,3.7,20.4,0,7.7
"1503","Temperate","Verano",2.6,39,15,9,69,84,1003.5,1004.1,24.9,7,8,5,0.6,21.9,1,4.4
"1504","Temperate","Primavera",0,35,9,24,62,48,1024.1,1022.1,11.1,4,3,3.2,8,12.8,0,12.4
"1505","Subtropical","Invierno",8.6,30,19,11,91,80,1025.7,1024.1,15.3,8,7,4,0.4,18,1,6.2
"1506","Temperate","Otoño",0,30,13,2,68,33,1022.6,1020.1,14.1,6,6,2.2,6.1,23,0,18.3
"1507","Subtropical","Verano",0,39,20,20,51,28,1016.9,1012.2,22.9,1,3,11.2,13.3,31.9,0,17.1
"1508","Desert","Otoño",0.2,35,20,15,75,32,1020.7,1018.4,14.4,0,0,10.8,9.8,22.5,0,12.8
"1509","Tropical","Invierno",0,31,0,19,64,59,1013.7,1010.3,20.4,1,1,3.8,10.5,24.1,0,13.2
"1510","Tropical","Primavera",0,35,13,22,67,55,1012.4,1008.3,29.9,3,6,6.8,9.9,32.9,0,7
"1511","Subtropical","Primavera",0,61,19,46,53,62,1011.1,1006.2,25.1,2,5,6.8,10.8,25.7,0,12.5
"1512","Temperate","Primavera",1,61,31,41,76,53,1023.3,1022.3,12.2,8,0,4,9.5,15.5,0,6.9
"1513","Temperate","Verano",0,43,19,17,54,37,1011.8,1008.8,25.3,1,6,8,12.6,31,0,11.9
"1514","Tropical","Otoño",0,30,6,13,79,62,1017,1013.2,26.3,6,2,4.2,9.9,28.5,0,7.5
"1515","Desert","Primavera",0,48,26,35,48,16,1015.5,1013.7,16.1,1,0,8,2.9,24.8,0,13.1
"1516","Temperate","Invierno",0,26,4,15,89,36,1031.6,1026.7,5.9,1,0,2.4,9.9,19.4,0,22.6
"1517","Subtropical","Verano",0,44,13,30,32,19,1016.4,1013.2,29,0,1,10,12.2,34.7,0,15.4
"1518","Tropical","Primavera",0.4,54,9,9,85,75,1010.2,1007.5,27.6,6,7,5.6,1.6,28.9,0,5.6
"1519","Subtropical","Verano",0,28,6,19,53,44,1026.3,1024.1,20.3,4,3,6.4,9.3,22.8,0,9
"1520","Subtropical","Verano",2.4,24,9,11,58,62,1012.5,1010.5,24.9,4,7,3.8,10.8,25.4,1,10.6
"1521","Subtropical","Otoño",0.2,41,9,20,83,63,1018.2,1017,22.2,5,6,4,5.7,23,0,4.9
"1522","Tropical","Verano",40.4,43,19,15,88,63,1011.1,1007.9,26,7,6,7.6,4.7,31.7,1,9.2
"1523","Tropical","Primavera",0,37,17,28,61,43,1019.4,1015.6,25,1,1,8,10.5,28.1,0,10.5
"1524","Temperate","Invierno",0,28,4,0,73,59,1029.2,1029.5,9.1,2,3,0.2,7.6,14.6,0,10.4
"1525","Subtropical","Primavera",0,89,13,46,56,50,1012.9,1007.2,20.8,5,3,6,12.2,23.4,0,9.6
"1526","Subtropical","Otoño",2.8,54,28,31,95,71,1025.5,1026.1,19,8,8,7,1.2,21.7,1,2.9
"1527","Subtropical","Primavera",0,35,17,26,42,46,1020.9,1019.9,16.6,1,1,7.6,12.4,19.6,0,12.6
"1528","Tropical","Verano",0,39,20,19,78,53,1011.1,1006.8,25.7,7,1,9,8.5,30.7,0,6.6
"1529","Temperate","Verano",0,37,7,13,62,39,1016.7,1015.3,17.4,5,4,4,12.9,23.3,0,9.9
"1530","Subtropical","Primavera",0,52,20,15,80,68,1015.4,1013.4,17.4,7,2,4,6,19.7,0,5.8
"1531","Subtropical","Invierno",12.2,54,19,28,71,64,1014.3,1013.4,14.3,6,5,4.8,8.7,15.5,1,5.6
"1532","Tropical","Primavera",0,35,17,24,76,62,1014.7,1011,26.7,2,2,7.6,10.2,29.7,0,10.1
"1533","Subtropical","Verano",0,59,9,22,77,71,1011.5,1005.7,23.2,7,7,5.8,5.3,25.6,0,7
"1534","Grassland","Verano",0,43,19,24,66,27,1014.7,1013.7,15.7,5,4,9.6,0.8,23.4,0,11.9
"1535","Temperate","Verano",0,35,19,26,66,44,1023.7,1020.2,16.4,0,0,4.2,11.8,24.1,0,16.4
"1536","Grassland","Invierno",1.8,22,7,11,80,40,1023.8,1019.6,12.6,7,1,2.2,8.2,24.2,1,15.7
"1537","Temperate","Otoño",7.6,57,22,22,88,91,1014.4,1014.1,13.3,1,5,1,3.4,12.6,1,5
"1538","Subtropical","Verano",22.4,39,19,17,92,91,1010.1,1010.3,18.9,8,8,30.4,0,18.6,1,1.2
"1539","Grassland","Invierno",0,17,9,6,99,44,1023.7,1021.5,5,1,1,1.6,8.1,17.8,0,17.6
"1540","Grassland","Otoño",0,37,7,17,42,10,1017.8,1014,14.8,1,2,5.6,10.5,29.8,0,23
"1541","Temperate","Otoño",9.2,39,13,6,86,43,1016.1,1013.3,20,5,6,7.6,6,28.8,1,11.1
"1542","Temperate","Invierno",0,63,20,24,78,63,1003.8,997.9,11.2,3,7,3.4,3,13.3,0,3.6
"1543","Temperate","Verano",0.4,50,19,30,62,28,1012,1011,18.2,6,6,8.4,11.4,23.8,0,14.2
"1544","Tropical","Verano",0.8,50,11,22,68,64,1008,1005.5,29,6,5,12.8,9.4,29.7,0,9.2
"1545","Temperate","Primavera",0,44,7,33,39,62,1017.2,1017.4,23.9,6,1,7.2,10,20.3,0,14.7
"1546","Tropical","Primavera",0,39,24,30,56,55,1015.1,1011.9,28.7,2,2,10.6,10.9,29,0,6
"1547","Temperate","Primavera",0,28,17,13,66,57,1013.1,1008.8,9.3,6,7,4,6.6,13.1,0,12
"1548","Temperate","Invierno",0,22,11,0,92,55,1030.6,1027.4,3.9,1,2,1.2,8.5,15.7,0,16.9
"1549","Tropical","Otoño",3.4,52,11,24,87,72,1011.7,1008.8,26.5,4,7,9.6,2.3,29.5,1,5.3
"1550","Subtropical","Otoño",0,30,9,9,50,26,1018.8,1014.8,15,1,0,4,10.1,20.4,0,16.3
"1551","Subtropical","Otoño",0,46,0,24,45,26,1019.8,1016.4,14.2,0,0,4.8,10.5,21.3,0,18.2
"1552","Subtropical","Primavera",0,24,6,9,48,38,1018.2,1015.4,16.7,1,3,5.8,10.7,21.5,0,14.7
"1553","Temperate","Otoño",0,31,19,13,57,40,1023,1019.9,21.5,3,6,5.2,10.6,26.6,0,12.4
"1554","Temperate","Otoño",0,30,15,15,74,56,1024.8,1022.9,13,7,7,2.6,0.3,16.1,0,5.6
"1555","Tropical","Otoño",0,30,11,20,69,53,1014.9,1010.6,29.4,3,6,7,10.2,31.6,0,7.5
"1556","Temperate","Otoño",0,24,7,11,48,28,1021.6,1018.7,13.5,0,1,3.6,10,18.4,0,12.6
"1557","Temperate","Otoño",0,37,7,15,65,28,1026.8,1022.9,9.5,3,7,2.2,9,18.4,0,16.5
"1558","Temperate","Verano",0,70,26,33,32,52,1003.2,1003.7,32.3,1,3,5.2,9.6,28.5,0,15.7
"1559","Subtropical","Invierno",0,30,13,19,57,29,1020.7,1019.5,17.1,6,5,4,6.5,21.9,0,9
"1560","Temperate","Primavera",0,70,17,19,54,24,1004.8,1001.1,22.9,7,7,12.4,4.4,33.4,0,23.5
"1561","Temperate","Invierno",2.2,43,11,15,93,86,1017,1014.8,13.4,7,8,3.6,0.1,14,1,1.5
"1562","Subtropical","Primavera",0,26,7,15,60,56,1013.9,1012.6,25.3,1,2,7.8,12.7,27.2,0,12.5
"1563","Temperate","Primavera",32.4,83,35,35,89,78,988.3,999,10.2,8,6,2.4,4.5,11.4,1,5.1
"1564","Temperate","Invierno",0.6,41,13,22,83,80,1021.6,1020.3,10.9,2,7,1.8,2.6,12.3,0,4.9
"1565","Tropical","Otoño",7.4,48,9,15,80,50,1012.6,1009.6,27.1,7,7,7,4.1,31.7,1,10.2
"1566","Tropical","Otoño",6.2,31,0,17,80,43,1009.6,1005.7,29.7,7,7,5.4,3,32.3,1,8.1
"1567","Subtropical","Primavera",0.2,39,26,19,61,52,1017.3,1014.4,20.5,6,7,6.6,10.4,25.6,0,11.1
"1568","Temperate","Primavera",0,41,17,13,60,26,1023.8,1020.4,17.2,0,0,7.3,13.5,25.9,0,14.8
"1569","Subtropical","Otoño",0,31,11,24,76,66,1017.2,1015,23.2,5,5,4,6,25.1,0,9
"1570","Temperate","Primavera",0.8,31,9,15,68,48,1020.5,1019.9,9.7,1,5,2.8,8,13.5,0,9.7
"1571","Desert","Verano",0,44,24,20,61,22,1014.5,1011.9,20.7,4,3,12,13.6,30.4,0,13.7
"1572","Grassland","Primavera",0,30,11,15,50,21,1024.4,1020.1,18.2,5,7,7.6,10.6,26.9,0,18.5
"1573","Temperate","Verano",0,91,11,9,50,61,997.8,994,25.8,7,7,6,4.3,23.5,0,9.6
"1574","Grassland","Verano",0,28,13,13,49,23,1013.2,1009.8,17.2,6,7,10,7.3,27.2,0,17.3
"1575","Desert","Otoño",0,31,20,11,32,18,1016.5,1011.9,23.6,2,2,12,10,29.7,0,13.4
"1576","Subtropical","Invierno",6.6,69,41,37,87,61,1023.8,1021.8,14.4,7,7,6,0.2,17.4,1,4.1
"1577","Temperate","Invierno",3.6,35,15,17,76,58,1017.2,1016,8.9,8,7,2,1.9,13.4,1,7.7
"1578","Desert","Otoño",0,35,17,17,41,22,1018.3,1015.1,23.2,1,5,6.6,10.1,30.6,0,14.5
"1579","Subtropical","Invierno",0,22,7,2,54,36,1023.3,1019.1,14.4,1,2,3.6,10,21.2,0,12.9
"1580","Subtropical","Invierno",0,35,11,19,44,27,1021.2,1016,16.3,1,0,4.6,10.2,19.9,0,7.9
"1581","Subtropical","Invierno",0,35,13,6,74,57,1023.7,1021.1,12.3,6,7,2,2.1,16.5,0,8.3
"1582","Subtropical","Otoño",0,31,9,17,70,60,1014,1013.3,18.2,2,7,4.4,8,23.5,0,10.9
"1583","Subtropical","Invierno",0,31,6,15,75,91,1023.8,1022.4,11.5,4,5,2.4,5,12.6,0,9.1
"1584","Subtropical","Otoño",0,33,15,11,59,30,1017.6,1015.5,17.6,1,4,8.2,11.3,28.4,0,20
"1585","Temperate","Invierno",0,46,13,13,56,56,1018.8,1017.8,12.7,7,7,2.4,1.5,13.9,0,9.9
"1586","Desert","Invierno",0,20,13,9,53,36,1032.5,1029,9.5,7,7,2.6,4.2,13.2,0,6.5
"1587","Subtropical","Primavera",1.6,37,17,20,63,49,1016.3,1014.5,17.1,1,2,4.4,10.7,19.1,1,11.3
"1588","Temperate","Verano",0,54,31,26,65,36,1013,1012.7,16.8,7,7,10,7.3,23.1,0,10.6
"1589","Subtropical","Otoño",0,17,6,7,86,97,1021.4,1018.6,20.7,8,8,3,0,19.8,0,4.9
"1590","Subtropical","Verano",0.6,31,9,17,76,70,1016.1,1014.2,24.6,6,7,7.6,6.4,24.8,0,5.2
"1591","Subtropical","Primavera",0,41,9,17,62,58,1012,1008,18.4,8,7,8,5.5,20,0,9.5
"1592","Temperate","Otoño",0,22,7,11,78,39,1020.1,1018.6,5.6,0,2,3,8.8,15.8,0,16
"1593","Temperate","Invierno",12.8,41,15,17,93,88,999,997.9,16.1,8,8,0.4,0,17.5,1,2.8
"1594","Temperate","Otoño",0,31,11,15,82,47,1029.6,1026.3,14.4,6,2,0.4,9.4,17.8,0,12.9
"1595","Subtropical","Primavera",0,57,35,24,76,61,1018.2,1018.5,20.6,7,7,8.6,3.7,22.1,0,4.2
"1596","Temperate","Invierno",0.2,31,2,15,88,47,1014.6,1011.4,2.9,5,3,1.4,7.7,13.5,0,15.1
"1597","Temperate","Invierno",0,13,6,2,69,60,1029.2,1027.3,1.6,1,1,0.2,8.8,11.8,0,15.5
"1598","Subtropical","Primavera",0,26,15,17,66,46,1029.8,1027.4,15.3,7,1,7.6,6.2,19.6,0,7.5
"1599","Subtropical","Verano",0,43,11,24,35,35,1006,1003.2,30.4,0,1,12.4,13.1,31,0,15.8
"1600","Subtropical","Otoño",0,22,4,9,77,51,1021.7,1018.4,20.2,1,1,3.4,9.7,25.9,0,13.3
"1601","Desert","Verano",0,74,6,24,12,7,1005.6,1004.1,28.3,1,1,13.8,13.2,36.9,0,17.1
"1602","Temperate","Otoño",0,33,9,7,69,64,1020.1,1017.4,23.5,6,2,4,7.6,27.4,0,9.9
"1603","Temperate","Verano",0,31,6,22,78,49,1015.7,1014.1,21,1,4,7,12.7,26,0,14
"1604","Grassland","Primavera",0,24,0,7,63,27,1022.5,1019.1,11,0,2,4.4,9.8,17.3,0,18.1
"1605","Subtropical","Otoño",0,41,28,28,57,61,1034.9,1033.4,21.2,3,6,7.4,7.1,22,0,5.1
"1606","Subtropical","Otoño",0,35,15,9,51,25,1020.9,1015.6,21.2,1,1,8.4,11.3,29.8,0,14.6
"1607","Grassland","Verano",0,46,19,20,74,34,1022.7,1020.7,13.1,4,1,4.2,10.3,24.7,0,14.4
"1608","Grassland","Invierno",0,37,2,24,25,7,1020.7,1017.1,16.4,3,4,5.4,10.9,25,0,19.3
"1609","Temperate","Invierno",0.8,48,15,20,76,64,1010.8,1006.6,6.4,1,7,1.4,6.9,10.7,0,6.7
"1610","Tropical","Primavera",1.2,35,17,24,63,55,1011.4,1009.4,29.3,2,1,6.2,11.8,30.5,1,9.1
"1611","Subtropical","Otoño",4.8,39,11,28,74,62,1016.6,1016.2,19.3,1,2,4.2,10,23.6,1,8.8
"1612","Subtropical","Primavera",0,31,24,19,45,34,1022.8,1019.9,13.5,0,0,3.2,10.9,19.9,0,18.3
"1613","Temperate","Invierno",12,30,15,13,97,97,1023.8,1021.6,12.6,8,8,0,0,13.6,1,2.8
"1614","Grassland","Otoño",0,41,17,20,68,37,1018.8,1019,11.8,1,5,5.9,8.4,16.3,0,8.6
"1615","Temperate","Invierno",4.4,30,17,17,88,80,1028.1,1028.5,9,8,7,0.4,1.6,11,1,6.1
"1616","Grassland","Otoño",0,41,20,22,59,28,1017.6,1013.4,17.2,0,0,7.8,11.3,24.8,0,16.7
"1617","Desert","Primavera",0,54,30,30,49,20,1021.1,1018.7,13.4,7,3,5,5.4,21.5,0,14.1
"1618","Subtropical","Invierno",0,20,2,9,95,61,1021.1,1017.5,17.5,8,1,0.2,8,24.3,0,11.1
"1619","Subtropical","Otoño",0,33,9,7,58,27,1021.5,1017.3,22,0,0,8,11.3,31.7,0,19
"1620","Subtropical","Invierno",0,30,20,6,66,42,1022.4,1020.2,10.7,5,6,2.2,8.4,18.3,0,14.6
"1621","Temperate","Invierno",0,46,13,24,74,69,1027.1,1023.6,8.7,1,7,1.6,3.7,10.8,0,9.7
"1622","Subtropical","Invierno",0,39,13,22,54,30,1025.3,1023.5,9,6,1,2.2,7.4,16.6,0,12.2
"1623","Temperate","Invierno",1.8,46,17,22,73,44,1021,1016.7,7.2,1,7,2.8,7.6,12.5,1,8.1
"1624","Temperate","Otoño",0,76,26,43,30,20,1005.3,998.9,22.1,7,7,7,2.4,28.1,0,13.6
"1625","Temperate","Invierno",0,33,20,15,71,57,1026.8,1023.5,7.7,7,7,1.6,6.6,13.1,0,9.4
"1626","Tropical","Verano",1.4,48,26,33,72,58,1006.5,1003,27.8,6,5,4.6,10,31.2,1,7.7
"1627","Temperate","Primavera",0,48,26,24,68,35,1017.2,1013,16.8,6,7,4.8,7,24.5,0,18.4
"1628","Temperate","Primavera",0.4,37,24,24,84,56,1028.9,1028,13.1,7,7,1.8,0,14.5,0,4.5
"1629","Tropical","Invierno",0,33,11,20,66,46,1017.2,1013.4,25.5,3,1,6.8,10.5,28.4,0,12.6
"1630","Subtropical","Invierno",9.6,30,6,13,98,56,1019.5,1020.4,11,7,2,1,5.7,16.7,1,7.5
"1631","Subtropical","Otoño",0,26,13,9,53,35,1022.9,1019.6,16.6,1,1,4.2,10,22.5,0,10.7
"1632","Tropical","Verano",0,30,6,17,66,75,1008.8,1006.6,31.4,0,3,5,9.4,30.6,0,8.8
"1633","Temperate","Primavera",0.4,37,13,17,81,96,1020.6,1020.2,15.9,8,8,8.2,0,13,0,0.700000000000001
"1634","Subtropical","Otoño",0,37,20,13,36,20,1021.4,1019,19.5,6,5,4.6,6.7,28.7,0,12.6
"1635","Temperate","Otoño",0,30,6,20,88,41,1022.7,1019.3,9.1,6,7,1,6.3,20.3,0,12.9
"1636","Temperate","Otoño",0,39,11,24,55,49,1022,1021.3,16.8,6,4,3.8,8.2,21.2,0,6.6
"1637","Temperate","Primavera",0.4,26,9,7,90,69,1016.4,1010.9,11.3,7,7,2.4,0.8,16,0,11.7
"1638","Tropical","Invierno",0,39,9,28,55,49,1023.8,1020,19.7,6,7,8,5,23.9,0,10.3
"1639","Subtropical","Verano",0,48,19,30,58,56,1019.3,1016.1,21.4,5,7,7.6,6.5,23.2,0,6.2
"1640","Temperate","Verano",0,41,7,24,90,46,1024.4,1022.7,15.8,1,1,5.4,13,24.7,0,15.1
"1641","Subtropical","Verano",0,30,13,11,59,34,1019.6,1016.1,25.1,0,1,8,13,31.3,0,13.6
"1642","Subtropical","Otoño",0,37,19,26,60,65,1022.2,1018.9,23.3,1,5,5,9.1,22.4,0,4.7
"1643","Temperate","Otoño",2.9,33,0,22,97,56,1021.5,1021.2,16.2,7,6,1.8,8.5,23.2,1,12.6
"1644","Tropical","Verano",1.8,30,13,17,63,82,1011.1,1008.3,29.7,4,4,4.2,5.7,29.7,1,6.9
"1645","Tropical","Verano",0,28,15,15,65,63,1010.6,1007.6,28.6,6,7,8,9.6,30,0,8.4
"1646","Subtropical","Otoño",26.4,43,9,22,87,67,1021,1019.4,21.4,6,7,7.2,2.2,25,1,6.6
"1647","Subtropical","Otoño",0,35,20,17,72,43,1017.3,1013,21.7,1,3,6.8,11.6,29.3,0,13.6
"1648","Temperate","Invierno",0.2,57,20,31,80,65,1013.7,1010,11.3,7,6,1.4,2.2,15,0,7.2
"1649","Grassland","Verano",0,44,0,7,50,20,1012.5,1010.9,24.8,7,7,8.6,4.9,35.5,0,16.9
"1650","Tropical","Otoño",20.4,35,13,13,82,80,1012.5,1009.6,24,7,8,1,0,25.1,1,4.7
"1651","Grassland","Invierno",0,54,15,31,83,66,1011.8,1012.6,7.9,7,6,1.8,4.8,11.3,0,8.9
"1652","Subtropical","Verano",0,67,15,35,64,51,1009.8,1005.3,27.2,4,7,11.2,6.6,29.2,0,9.8
"1653","Subtropical","Otoño",0,24,9,13,43,28,1013.6,1010.5,27.3,0,1,10.4,11.4,35.4,0,18.1
"1654","Tropical","Otoño",0.6,50,20,31,61,58,1015.6,1012.2,28.7,5,6,8.6,9.2,30.2,0,8.7
"1655","Temperate","Primavera",0.2,24,2,9,79,48,1025,1020.8,11.7,1,1,2,12.6,21.4,0,16.9
"1656","Tropical","Otoño",0,41,19,28,50,47,1015.3,1011.2,27.4,6,6,11.4,10.2,29.8,0,9.1
"1657","Subtropical","Verano",0,43,22,19,15,21,1010.5,1009.6,33.4,0,1,13.8,13.1,36.1,0,19.1
"1658","Subtropical","Invierno",0,17,9,9,84,54,1028.2,1026.3,9,1,1,1.4,8.9,18.5,0,16
"1659","Grassland","Verano",0,39,13,22,27,10,1009.3,1005.8,30.3,0,1,11.4,12.5,36.3,0,17.7
"1660","Subtropical","Invierno",0,44,15,20,51,34,1021.3,1017.8,13.4,7,6,3.2,6.7,18.8,0,10.7
"1661","Temperate","Primavera",0.2,48,9,22,54,65,1013.7,1013.5,14.6,3,6,2.8,9.1,14.4,0,8.7
"1662","Temperate","Otoño",0,24,6,0,60,39,1022.5,1019.2,6.6,7,7,2.4,5.9,12,0,11.2
"1663","Tropical","Invierno",0.2,46,26,31,72,54,1017,1013.5,25.1,1,1,5.8,10.7,28,0,6.8
"1664","Subtropical","Invierno",0,20,7,6,52,32,1023.2,1018.7,17.4,1,1,6,10.9,22.8,0,11.6
"1665","Desert","Invierno",0,33,17,20,78,59,1021,1020.1,9.9,7,7,2,1.1,16,0,8.6
"1666","Tropical","Verano",0.8,48,15,31,69,61,1014.7,1012.2,28.4,4,2,12,10.8,30.8,0,7
"1667","Subtropical","Otoño",0.8,56,26,24,76,61,1024,1023.9,20.6,7,7,5.8,4.8,21.7,0,2.8
"1668","Temperate","Primavera",0,31,7,13,70,32,1020.9,1016.2,10,2,2,4.6,10,18.2,0,19.3
"1669","Subtropical","Otoño",0,31,7,15,55,26,1017,1014.3,18.3,2,1,4.8,8.9,27.7,0,11.9
"1670","Subtropical","Otoño",0,26,13,13,71,62,1018.3,1016.5,19.7,7,1,4,9,21.5,0,5.6
"1671","Subtropical","Invierno",0,17,7,2,89,47,1029.6,1027.3,8.8,0,1,3.6,9.1,16.6,0,14.5
"1672","Tropical","Verano",2.8,35,19,17,77,69,1010.1,1007,27.1,8,7,7.8,2.6,29.4,1,6.8
"1673","Grassland","Invierno",0,39,20,22,75,26,1025.5,1020.9,8.5,4,7,3.8,5.7,18.8,0,14.3
"1674","Tropical","Otoño",0.2,39,9,20,65,61,1010.6,1007,29.2,7,7,6.2,10.7,31.9,0,9.2
"1675","Temperate","Primavera",0,52,6,24,63,21,1016.9,1010.8,18,6,6,5,6.1,30.3,0,23.6
"1676","Temperate","Invierno",0,39,28,22,79,64,1022.2,1018.3,8.1,2,7,1.4,3.8,14.1,0,10
"1677","Subtropical","Otoño",0,35,7,7,70,65,1013.8,1012,22.1,8,7,7.6,0.2,24.8,0,5
"1678","Subtropical","Invierno",0,37,7,28,48,30,1024.2,1020.3,18.1,1,1,4.6,10.5,22.9,0,13
"1679","Tropical","Verano",10,43,26,6,96,98,1010.9,1007.9,24.3,8,8,7.2,0.2,23.6,1,2.8
"1680","Temperate","Invierno",5.4,43,15,19,82,71,1012.2,1011.5,11.6,7,6,0.6,4.1,12.7,1,4.1
"1681","Grassland","Otoño",0,37,6,22,46,21,1019.9,1015.8,18.4,0,1,6,11.2,26.2,0,17.5
"1682","Subtropical","Primavera",0,72,2,13,69,39,1011.8,1006.7,23.3,3,7,4.8,11.2,31.7,0,14.5
"1683","Temperate","Primavera",0,61,26,7,24,74,1005,1007.5,24.2,7,8,13,0,17.6,0,3.8
"1684","Temperate","Primavera",0,46,30,28,93,92,1012.7,1014,14,8,8,8,0,13,0,3.6
"1685","Tropical","Primavera",0,35,6,24,56,45,1014.8,1009.7,26,1,1,7,10.9,29.7,0,12.5
"1686","Subtropical","Verano",0,56,22,35,60,52,1019.6,1016.9,25.3,1,1,11.6,11.5,28.4,0,8.3
"1687","Tropical","Otoño",1.8,39,11,13,89,89,1006.5,1003.1,26.2,7,7,0.8,4,26.5,1,5.9
"1688","Subtropical","Otoño",0,41,9,26,48,34,1012.9,1008.8,23.8,4,4,5,9,29.3,0,12.3
"1689","Subtropical","Verano",0,33,9,19,40,37,1015.3,1013.3,27.1,0,1,11.8,12.7,31,0,15.2
"1690","Subtropical","Primavera",0,20,13,4,60,56,1024.9,1022.9,18.1,1,1,4.6,9.1,19.7,0,6.8
"1691","Tropical","Invierno",0,39,9,24,68,37,1016,1012.2,25.8,3,6,6.4,10.2,30.4,0,11
"1692","Temperate","Otoño",0,28,7,9,66,42,1025,1023.1,8.6,1,1,0.8,9.3,16.8,0,14
"1693","Grassland","Invierno",4.8,48,20,28,67,48,1008.1,1006.2,11.4,0,3,1.2,8.6,16.7,1,8.6
"1694","Grassland","Otoño",0,44,28,11,38,31,1018.1,1015.9,21.4,6,7,9.4,8.1,24.9,0,13.7
"1695","Subtropical","Invierno",0,39,13,13,78,47,1029.2,1026.1,13.1,1,1,2.4,9,21.5,0,16.7
"1696","Temperate","Verano",0.8,33,9,17,76,64,1007,1007.3,13.8,7,7,2.6,1.4,16.8,0,6.5
"1697","Desert","Primavera",0,37,11,19,27,14,1019.6,1016.1,21.8,0,0,8,12.3,29.2,0,16.4
"1698","Subtropical","Verano",0,52,31,28,59,57,1012.2,1009.9,24.7,7,8,10.2,0.4,26.3,0,6.4
"1699","Temperate","Primavera",0,35,15,13,53,29,1017.8,1013.9,15.5,3,4,4.4,10.5,23,0,14.1
"1700","Tropical","Otoño",0.8,41,13,17,65,55,1013.4,1010.1,26.3,6,2,4.6,7.8,29.5,0,8.3
"1701","Tropical","Otoño",0,35,17,26,63,59,1014.3,1010.6,26.5,1,7,7,9.6,29.4,0,9.2
"1702","Subtropical","Invierno",2.2,41,15,19,50,26,1022.6,1019.3,12.8,1,0,1.2,10.4,17.7,1,14.6
"1703","Grassland","Invierno",0.2,48,15,22,87,45,1009.1,1009.1,10.5,7,7,3.8,5.1,16.5,0,11.7
"1704","Subtropical","Invierno",0.4,54,15,24,76,77,1013.7,1013.9,12.8,7,8,1,0.9,13.2,0,4.3
"1705","Subtropical","Invierno",0,39,17,13,76,74,1025.2,1022.2,18.7,7,2,3.4,6.7,20.2,0,5.2
"1706","Subtropical","Otoño",0,39,0,28,59,56,1026.9,1024.2,24.7,3,3,6.2,9.2,26.6,0,7.4
"1707","Tropical","Verano",0.4,30,7,17,72,77,1009.9,1006.5,29.2,6,5,4.2,9,29.9,0,6.5
"1708","Temperate","Verano",0,39,13,11,33,15,1009.5,1006.4,25.2,0,0,8.2,13,33.9,0,21.6
"1709","Subtropical","Invierno",9.8,61,15,24,93,88,1014.5,1010.8,16.1,8,8,2.4,0,13.5,1,1.8
"1710","Subtropical","Primavera",3.2,81,37,30,84,89,1006.2,1010.8,8.7,5,7,2,4.3,12.4,1,7.4
"1711","Subtropical","Primavera",0,37,9,20,55,53,1015.4,1015,20.9,1,6,7.6,13.1,21.9,0,9.5
"1712","Temperate","Verano",0,28,15,13,37,17,1018,1015.1,23.2,0,5,8,13.1,31.8,0,17
"1713","Subtropical","Verano",5.4,28,9,11,69,56,1016.4,1009.1,27.5,6,6,10,6.6,31.6,1,10.6
"1714","Temperate","Invierno",2.2,44,20,17,79,83,1007.8,1009.8,8.8,7,8,2.6,0.4,9.1,1,2.2
"1715","Subtropical","Verano",0,48,30,17,50,17,1017.7,1013.8,25.1,0,2,9.4,13.2,34.1,0,17.6
"1716","Subtropical","Primavera",0,30,6,15,73,38,1022.1,1019.7,20.4,1,1,7,12.9,25.8,0,16.3
"1717","Tropical","Primavera",0,43,30,33,70,66,1013,1010.4,28.1,6,6,8.8,8.6,28.7,0,5.1
"1718","Temperate","Verano",0,52,26,26,48,39,1010.7,1006.9,15.4,7,8,7.2,6.8,24.1,0,15.3
"1719","Temperate","Otoño",35.6,63,31,35,94,60,1015.5,1018.2,12.2,8,7,2.8,0,13.6,1,5
"1720","Subtropical","Otoño",0,30,17,19,60,64,1020.8,1018.5,15.2,1,6,4.4,7.7,19.7,0,9.9
"1721","Temperate","Primavera",0.8,39,17,19,65,64,1018,1019.2,13.2,6,7,3.8,4.5,15.4,0,9.1
"1722","Tropical","Primavera",0,33,2,28,61,54,1016.2,1011.8,25.6,3,3,7.2,10.6,27.9,0,10.7
"1723","Temperate","Invierno",0,44,20,22,74,64,1021.1,1017.8,8.6,7,7,2.6,2,13.2,0,7.1
"1724","Temperate","Otoño",0,24,7,17,92,81,1017.8,1016.6,17.5,7,7,3.8,6.5,18,0,8.6
"1725","Temperate","Otoño",0,26,11,9,84,44,1021.6,1019.9,8,2,6,0.8,9.1,17.6,0,11.7
"1726","Temperate","Otoño",0,33,2,20,80,40,1023.5,1018.7,6.8,1,2,2.4,8.7,17.7,0,18.3
"1727","Temperate","Primavera",0,43,20,17,63,53,1019.2,1019.9,13.2,7,6,3.6,3.9,16,0,6.4
